number_symbols,personalized_theme,sound_toggle,victory_tracker,destiny_numbers,mystery_numbers,random_fun,unexpected_game,number_based_quiz,fast_paced_luck_game
31,colorful,true,79,697,779,riddles,puzzle,3,bingo
22,colorful,true,86,29,749,trivia,maze,18,bingo
10,light,true,6,367,147,riddles,maze,7,bingo
27,dark,false,56,513,901,riddles,puzzle,14,bingo
80,colorful,true,13,375,171,jokes,puzzle,19,roulette
57,light,true,6,621,642,trivia,puzzle,1,bingo
40,colorful,true,46,957,939,riddles,maze,2,bingo
52,light,false,53,489,748,jokes,escape room,18,slot machine
32,dark,true,81,848,658,riddles,escape room,13,bingo
69,dark,false,13,137,230,riddles,escape room,16,bingo
43,dark,true,35,998,858,jokes,maze,4,bingo
29,dark,false,52,486,84,trivia,puzzle,19,slot machine
60,light,true,9,283,944,riddles,puzzle,12,slot machine
91,dark,false,48,920,577,jokes,maze,10,bingo
61,dark,false,100,647,668,trivia,escape room,10,bingo
87,colorful,false,65,75,677,riddles,puzzle,1,roulette
65,colorful,true,85,976,450,jokes,puzzle,12,bingo
89,colorful,true,95,790,691,jokes,puzzle,19,roulette
81,colorful,false,64,385,427,trivia,puzzle,6,slot machine
77,light,true,56,93,209,riddles,escape room,12,slot machine
92,light,false,80,443,428,trivia,maze,3,slot machine
53,light,false,16,222,617,jokes,puzzle,13,slot machine
31,dark,false,79,23,693,riddles,maze,18,slot machine
59,dark,false,66,984,755,trivia,puzzle,3,bingo
58,colorful,true,87,310,723,trivia,puzzle,19,slot machine
44,colorful,true,67,47,463,riddles,maze,9,slot machine
83,colorful,false,79,816,768,jokes,puzzle,9,bingo
95,dark,true,6,166,333,trivia,maze,17,roulette
15,dark,true,93,194,682,trivia,puzzle,17,slot machine
64,colorful,true,22,639,646,trivia,escape room,14,bingo
60,dark,false,25,578,884,trivia,escape room,16,bingo
65,light,true,83,689,860,trivia,maze,12,roulette
85,light,true,91,205,111,riddles,puzzle,8,roulette
59,colorful,false,42,318,218,riddles,escape room,5,roulette
8,colorful,true,2,591,106,trivia,maze,19,roulette
36,colorful,false,9,920,155,trivia,maze,5,slot machine
21,colorful,true,22,288,260,jokes,puzzle,9,bingo
95,colorful,true,52,899,781,jokes,escape room,6,roulette
49,colorful,true,97,470,658,riddles,escape room,8,slot machine
36,colorful,true,84,579,621,riddles,escape room,19,slot machine
23,dark,true,98,600,536,trivia,puzzle,12,bingo
64,dark,false,63,904,662,riddles,maze,13,roulette
95,dark,false,0,961,501,trivia,puzzle,4,roulette
76,dark,true,26,118,205,riddles,puzzle,1,bingo
100,dark,true,94,111,941,riddles,maze,17,bingo
74,colorful,false,53,830,232,riddles,puzzle,16,roulette
93,dark,true,21,152,789,jokes,escape room,19,slot machine
71,colorful,false,29,872,322,riddles,maze,10,bingo
11,dark,false,42,516,233,jokes,escape room,6,bingo
60,colorful,true,90,211,575,riddles,escape room,18,slot machine
45,colorful,false,15,868,183,riddles,escape room,6,bingo
40,light,true,67,619,276,riddles,maze,4,roulette
28,dark,true,84,335,222,trivia,puzzle,15,roulette
89,light,false,72,603,283,jokes,puzzle,17,slot machine
92,light,true,66,372,67,riddles,puzzle,3,bingo
28,dark,false,57,780,11,riddles,maze,3,bingo
97,light,false,67,788,712,riddles,puzzle,7,roulette
75,light,true,30,668,982,trivia,escape room,3,slot machine
21,light,false,61,795,996,jokes,maze,3,slot machine
68,light,true,72,339,462,riddles,escape room,13,bingo
88,dark,true,27,761,975,trivia,puzzle,8,roulette
19,light,true,14,782,53,riddles,puzzle,13,bingo
76,light,true,66,354,694,riddles,puzzle,4,slot machine
39,colorful,true,93,39,647,riddles,escape room,8,bingo
83,light,false,78,501,970,riddles,puzzle,6,slot machine
65,colorful,true,3,203,176,riddles,puzzle,8,roulette
3,dark,true,80,711,837,riddles,maze,8,bingo
59,dark,false,32,543,456,riddles,escape room,6,roulette
96,colorful,false,76,602,358,jokes,escape room,19,bingo
76,colorful,true,9,764,15,riddles,escape room,3,bingo
51,dark,true,62,771,287,trivia,maze,7,bingo
19,dark,true,91,145,258,riddles,puzzle,8,bingo
66,colorful,true,92,636,272,trivia,maze,1,roulette
61,dark,true,92,504,97,trivia,escape room,5,bingo
81,colorful,true,78,421,295,jokes,escape room,1,bingo
47,light,true,60,500,629,jokes,maze,12,bingo
18,light,false,57,324,8,jokes,maze,18,roulette
29,light,false,3,604,917,trivia,escape room,2,roulette
4,colorful,true,7,801,562,trivia,escape room,20,slot machine
27,dark,false,69,563,893,trivia,escape room,1,roulette
55,colorful,true,60,313,740,trivia,maze,17,bingo
77,light,false,34,641,209,riddles,maze,12,slot machine
40,light,false,4,336,528,jokes,puzzle,7,roulette
5,light,true,47,329,729,trivia,escape room,15,slot machine
55,dark,false,89,421,921,riddles,escape room,7,bingo
95,light,true,29,287,163,riddles,escape room,12,bingo
39,dark,false,76,390,391,trivia,maze,13,bingo
70,colorful,true,91,557,544,riddles,escape room,3,bingo
3,dark,false,27,443,573,jokes,maze,15,roulette
15,light,false,26,424,527,jokes,escape room,13,slot machine
77,colorful,true,84,716,558,trivia,puzzle,14,bingo
36,light,true,59,989,26,trivia,maze,16,roulette
65,dark,false,87,998,405,trivia,maze,16,slot machine
54,dark,true,75,244,444,jokes,escape room,11,slot machine
8,colorful,false,34,241,576,riddles,puzzle,17,bingo
83,colorful,false,99,886,166,jokes,maze,14,slot machine
34,dark,false,85,357,961,jokes,puzzle,3,bingo
27,light,true,54,597,737,jokes,maze,18,slot machine
29,dark,false,30,756,424,riddles,maze,7,bingo
18,light,true,48,889,615,trivia,maze,12,slot machine
54,colorful,false,32,672,439,jokes,escape room,17,bingo
73,colorful,false,72,571,76,riddles,puzzle,17,slot machine
46,colorful,true,92,400,784,riddles,puzzle,18,roulette
97,colorful,false,13,826,521,riddles,escape room,4,slot machine
84,dark,true,37,179,755,trivia,escape room,18,slot machine
61,light,false,70,9,392,trivia,escape room,12,roulette
62,light,true,54,789,743,jokes,maze,4,slot machine
41,colorful,true,88,195,571,jokes,maze,8,bingo
80,colorful,true,6,66,369,riddles,maze,17,bingo
50,light,false,27,272,259,trivia,maze,6,slot machine
89,dark,false,55,489,929,jokes,puzzle,9,bingo
25,dark,true,31,137,459,jokes,puzzle,7,bingo
59,colorful,false,69,268,231,riddles,maze,3,slot machine
19,dark,true,82,419,891,riddles,escape room,20,slot machine
53,colorful,true,75,48,345,trivia,maze,13,bingo
58,light,true,65,904,129,riddles,puzzle,8,bingo
62,colorful,false,13,33,462,trivia,maze,3,bingo
81,dark,true,32,223,953,trivia,puzzle,14,slot machine
100,light,false,91,649,36,trivia,puzzle,19,roulette
43,colorful,false,31,405,714,trivia,maze,10,bingo
37,light,true,86,80,953,jokes,escape room,13,roulette
15,colorful,true,35,711,969,riddles,puzzle,7,bingo
29,dark,false,0,54,486,jokes,escape room,14,bingo
38,dark,true,93,210,161,jokes,escape room,12,slot machine
71,dark,true,89,758,881,trivia,maze,4,bingo
38,light,true,7,227,520,trivia,escape room,2,bingo
6,dark,true,98,891,375,trivia,puzzle,7,slot machine
44,light,true,7,507,160,trivia,escape room,3,roulette
89,light,false,42,262,345,jokes,puzzle,7,roulette
10,dark,false,76,865,174,trivia,puzzle,7,bingo
21,light,true,59,679,869,riddles,puzzle,2,roulette
16,colorful,true,55,980,344,trivia,escape room,4,roulette
91,colorful,true,81,903,178,riddles,maze,15,roulette
73,dark,false,87,9,787,riddles,maze,3,slot machine
76,light,false,11,516,573,jokes,maze,12,roulette
61,light,true,18,668,677,trivia,puzzle,4,slot machine
13,dark,true,92,35,52,riddles,maze,10,slot machine
53,light,true,34,194,298,trivia,maze,11,slot machine
10,light,false,36,111,894,riddles,maze,4,roulette
91,colorful,true,25,544,646,jokes,escape room,15,bingo
70,colorful,false,22,742,9,trivia,escape room,19,slot machine
89,colorful,false,38,86,765,riddles,maze,20,bingo
54,dark,false,24,556,76,jokes,escape room,18,bingo
62,colorful,true,7,883,695,riddles,escape room,14,bingo
35,light,false,98,574,52,jokes,puzzle,19,bingo
30,light,true,18,921,576,trivia,puzzle,20,slot machine
30,light,true,86,884,151,trivia,maze,17,bingo
6,colorful,false,63,189,379,jokes,escape room,18,roulette
38,dark,false,66,694,220,jokes,escape room,7,roulette
1,light,false,66,538,665,jokes,maze,16,bingo
85,colorful,true,15,404,626,jokes,escape room,13,roulette
4,light,false,43,34,352,riddles,maze,10,bingo
75,dark,false,43,910,2,riddles,escape room,19,roulette
18,colorful,true,54,550,858,jokes,maze,9,roulette
29,colorful,true,8,614,594,riddles,maze,14,roulette
48,dark,false,54,304,614,trivia,maze,12,roulette
67,dark,true,69,826,612,trivia,escape room,14,slot machine
32,dark,true,23,789,547,trivia,maze,8,roulette
14,dark,false,81,644,35,jokes,escape room,10,slot machine
63,dark,true,58,921,742,trivia,puzzle,16,slot machine
19,dark,true,88,462,630,riddles,maze,1,bingo
47,colorful,false,12,286,633,jokes,puzzle,4,bingo
88,light,false,79,645,534,trivia,maze,17,slot machine
30,light,true,43,829,455,trivia,escape room,20,bingo
90,dark,true,34,118,786,riddles,escape room,13,roulette
51,colorful,false,86,965,196,jokes,puzzle,12,roulette
61,light,false,10,282,167,riddles,escape room,13,slot machine
73,dark,true,63,935,572,riddles,maze,19,bingo
99,dark,false,51,622,570,trivia,escape room,19,bingo
21,dark,true,6,416,508,jokes,maze,7,bingo
45,colorful,true,54,620,793,jokes,escape room,2,bingo
82,dark,true,95,456,144,trivia,puzzle,14,slot machine
85,dark,true,15,442,199,trivia,puzzle,19,slot machine
44,colorful,true,85,721,730,jokes,maze,11,slot machine
23,light,false,48,265,9,jokes,maze,17,roulette
20,colorful,true,96,877,456,trivia,maze,16,bingo
11,light,true,70,643,781,jokes,maze,6,slot machine
62,light,true,43,537,611,trivia,puzzle,7,bingo
49,dark,false,27,646,428,riddles,escape room,16,slot machine
65,light,false,38,36,151,trivia,puzzle,2,bingo
27,light,true,23,79,390,riddles,puzzle,4,roulette
49,dark,true,4,791,387,trivia,puzzle,19,slot machine
24,light,true,6,202,184,jokes,escape room,11,roulette
91,light,false,31,382,327,trivia,escape room,12,slot machine
77,colorful,true,27,889,82,trivia,puzzle,3,slot machine
23,light,true,57,224,684,jokes,escape room,8,bingo
67,dark,false,38,594,616,jokes,escape room,5,slot machine
19,colorful,true,33,700,493,riddles,maze,18,slot machine
38,colorful,true,74,278,359,jokes,puzzle,4,roulette
13,colorful,false,90,684,212,trivia,escape room,10,slot machine
87,dark,true,82,118,51,riddles,escape room,8,roulette
59,dark,false,38,344,636,riddles,escape room,20,slot machine
69,light,false,10,220,221,jokes,escape room,7,roulette
45,colorful,true,31,148,268,jokes,maze,19,bingo
39,light,true,13,960,291,riddles,maze,3,bingo
48,light,false,7,387,896,riddles,maze,17,bingo
64,colorful,false,94,463,843,riddles,maze,7,bingo
51,dark,true,5,815,423,riddles,puzzle,13,roulette
16,light,false,18,188,391,jokes,puzzle,5,roulette
56,light,false,98,870,110,riddles,escape room,16,roulette
4,light,true,66,131,809,riddles,puzzle,15,bingo
8,dark,true,65,558,606,jokes,escape room,8,roulette
96,light,true,71,492,414,trivia,puzzle,14,roulette
60,light,false,48,682,58,trivia,puzzle,2,bingo
74,colorful,false,22,455,741,riddles,puzzle,10,roulette
60,colorful,false,62,307,542,jokes,maze,17,slot machine
6,colorful,true,33,285,703,riddles,maze,15,bingo
66,light,false,56,804,984,trivia,puzzle,3,bingo
45,dark,true,60,199,501,jokes,escape room,19,roulette
47,colorful,true,12,322,861,trivia,puzzle,7,slot machine
87,colorful,true,53,669,975,jokes,maze,6,slot machine
88,light,true,2,709,891,riddles,escape room,18,bingo
98,dark,true,30,95,219,trivia,escape room,20,roulette
51,colorful,false,24,112,420,jokes,puzzle,16,roulette
42,dark,false,98,664,345,trivia,puzzle,12,slot machine
49,colorful,false,23,835,962,jokes,puzzle,2,slot machine
47,light,true,27,99,311,riddles,puzzle,16,bingo
88,dark,true,93,198,556,trivia,escape room,10,bingo
1,dark,true,76,847,145,jokes,escape room,11,slot machine
41,colorful,false,60,19,636,trivia,escape room,19,slot machine
99,dark,true,13,372,181,riddles,maze,10,bingo
95,dark,true,47,497,54,jokes,maze,2,roulette
77,colorful,true,12,152,661,trivia,maze,13,roulette
1,dark,true,76,834,423,riddles,puzzle,4,slot machine
31,light,false,29,246,26,jokes,puzzle,13,bingo
95,light,true,0,292,534,trivia,puzzle,17,bingo
37,dark,false,59,497,853,trivia,maze,17,roulette
26,dark,false,96,877,5,riddles,maze,12,roulette
9,colorful,true,60,315,17,trivia,escape room,18,roulette
14,dark,true,5,614,446,trivia,maze,7,roulette
47,light,true,15,41,415,riddles,puzzle,13,slot machine
53,dark,true,5,631,22,jokes,puzzle,17,bingo
2,dark,true,53,510,64,jokes,maze,18,roulette
84,dark,true,24,149,183,jokes,escape room,15,bingo
74,light,false,83,172,809,jokes,maze,9,bingo
25,colorful,false,43,790,34,jokes,escape room,16,roulette
23,light,false,1,89,413,riddles,maze,20,bingo
61,light,true,7,406,304,trivia,maze,17,slot machine
44,dark,true,84,332,224,jokes,escape room,5,slot machine
81,colorful,true,62,686,446,trivia,maze,15,bingo
65,colorful,true,20,57,694,trivia,escape room,1,bingo
31,colorful,true,94,267,992,jokes,maze,15,roulette
16,colorful,false,37,288,343,riddles,puzzle,5,roulette
89,colorful,false,10,975,247,trivia,maze,8,roulette
90,colorful,false,46,977,562,jokes,escape room,8,bingo
51,dark,true,66,745,918,riddles,maze,10,roulette
39,dark,false,63,284,329,trivia,maze,9,slot machine
85,colorful,false,98,806,432,trivia,maze,7,bingo
97,colorful,false,65,984,969,riddles,puzzle,6,roulette
10,light,false,6,954,699,riddles,puzzle,14,roulette
5,colorful,true,71,536,714,riddles,escape room,8,slot machine
10,dark,true,92,244,351,trivia,escape room,6,bingo
32,light,true,47,374,487,trivia,escape room,11,roulette
68,dark,true,24,354,103,jokes,maze,6,slot machine
3,dark,false,53,474,691,riddles,puzzle,9,bingo
91,dark,false,95,690,672,trivia,puzzle,11,bingo
50,light,true,94,67,387,jokes,escape room,6,slot machine
75,colorful,true,2,74,401,trivia,maze,14,roulette
85,light,true,57,177,901,jokes,puzzle,1,slot machine
2,light,false,35,442,687,riddles,puzzle,20,slot machine
94,colorful,true,24,166,752,riddles,puzzle,12,roulette
78,colorful,false,12,385,580,trivia,escape room,3,slot machine
79,light,false,87,41,525,trivia,escape room,19,bingo
57,colorful,false,16,870,225,trivia,escape room,20,roulette
28,dark,false,5,846,948,riddles,maze,8,slot machine
81,dark,true,42,608,179,riddles,escape room,17,roulette
46,light,false,55,721,736,trivia,maze,2,slot machine
16,colorful,false,52,782,558,riddles,puzzle,7,bingo
31,light,true,43,731,71,riddles,maze,12,roulette
60,light,true,80,774,790,riddles,escape room,5,bingo
72,colorful,false,68,20,825,trivia,escape room,9,roulette
83,light,false,5,378,339,trivia,escape room,10,slot machine
75,colorful,true,30,730,979,riddles,escape room,1,bingo
69,dark,true,73,284,89,jokes,puzzle,17,slot machine
77,light,false,22,64,399,trivia,puzzle,20,roulette
66,dark,true,29,101,563,trivia,puzzle,5,bingo
69,light,false,74,136,849,jokes,escape room,12,roulette
43,light,true,85,461,109,jokes,maze,3,roulette
6,dark,false,71,897,45,jokes,maze,10,roulette
42,dark,true,55,821,357,riddles,maze,10,bingo
24,colorful,true,36,921,859,jokes,escape room,14,slot machine
14,colorful,false,16,889,757,jokes,escape room,4,bingo
86,light,true,68,105,297,trivia,puzzle,5,bingo
23,light,false,79,504,143,jokes,puzzle,18,roulette
83,colorful,false,63,559,810,riddles,maze,18,roulette
49,colorful,true,26,716,900,trivia,puzzle,8,slot machine
60,colorful,false,62,888,60,trivia,puzzle,5,slot machine
77,light,false,56,502,328,riddles,escape room,19,slot machine
1,colorful,true,77,591,792,riddles,maze,11,roulette
41,dark,true,68,822,169,riddles,maze,6,bingo
39,dark,false,74,31,449,trivia,maze,6,roulette
46,colorful,true,62,754,907,trivia,escape room,14,bingo
30,dark,true,73,149,289,riddles,puzzle,11,slot machine
62,dark,false,100,744,202,riddles,puzzle,19,slot machine
83,light,true,67,784,139,jokes,maze,12,slot machine
4,light,false,96,171,495,jokes,escape room,13,bingo
61,dark,true,9,448,363,riddles,maze,7,roulette
44,light,true,4,126,16,jokes,puzzle,1,roulette
58,dark,false,88,185,392,trivia,puzzle,1,slot machine
66,dark,true,92,183,939,jokes,puzzle,19,bingo
52,light,true,24,93,205,trivia,puzzle,7,slot machine
91,light,true,77,114,603,trivia,maze,5,slot machine
55,dark,true,26,295,265,riddles,puzzle,11,roulette
61,light,true,5,972,86,trivia,escape room,8,slot machine
80,dark,false,82,487,42,riddles,puzzle,16,roulette
93,colorful,true,26,396,943,jokes,puzzle,20,slot machine
99,colorful,true,60,541,911,jokes,escape room,6,slot machine
13,colorful,false,54,767,826,riddles,maze,8,bingo
36,colorful,true,67,5,508,riddles,maze,17,roulette
16,light,false,81,228,149,riddles,escape room,12,roulette
26,dark,false,89,256,684,jokes,escape room,12,slot machine
19,light,true,95,722,203,riddles,maze,4,roulette
2,light,false,12,206,955,riddles,puzzle,2,slot machine
8,light,false,58,643,402,jokes,escape room,4,slot machine
26,colorful,true,25,543,281,jokes,escape room,14,roulette
60,light,false,52,605,307,riddles,escape room,15,bingo
52,dark,true,27,700,317,riddles,maze,12,slot machine
73,dark,true,93,435,737,trivia,maze,3,slot machine
15,colorful,false,43,63,872,trivia,puzzle,2,roulette
51,light,false,49,279,576,jokes,puzzle,15,bingo
89,colorful,false,30,871,957,trivia,escape room,8,slot machine
76,light,true,29,68,9,trivia,escape room,14,roulette
54,dark,false,0,207,350,trivia,puzzle,1,slot machine
11,colorful,true,9,693,396,trivia,escape room,14,bingo
1,dark,false,89,603,826,jokes,maze,16,slot machine
50,colorful,false,78,870,570,trivia,puzzle,19,bingo
70,dark,true,30,52,409,trivia,escape room,18,roulette
38,colorful,true,3,529,726,jokes,escape room,2,slot machine
53,light,false,95,449,546,jokes,puzzle,3,roulette
2,dark,false,35,583,150,trivia,escape room,3,roulette
3,light,true,19,379,442,jokes,escape room,5,roulette
34,dark,false,83,567,180,trivia,puzzle,8,slot machine
61,colorful,true,57,364,907,jokes,puzzle,20,bingo
34,dark,true,67,480,52,trivia,escape room,8,bingo
3,dark,false,55,420,574,riddles,escape room,10,slot machine
13,colorful,false,23,342,958,jokes,maze,9,slot machine
95,colorful,true,50,63,711,jokes,puzzle,13,roulette
31,light,false,72,387,799,jokes,puzzle,2,roulette
94,light,false,11,487,978,trivia,maze,2,bingo
5,colorful,false,95,728,589,jokes,escape room,5,bingo
63,colorful,true,70,824,493,trivia,maze,12,roulette
66,light,true,67,591,575,jokes,maze,14,bingo
10,light,false,5,124,980,riddles,puzzle,2,slot machine
65,dark,false,16,794,901,riddles,maze,13,slot machine
90,dark,false,93,682,564,jokes,maze,20,slot machine
93,dark,false,23,360,205,riddles,maze,1,bingo
61,light,false,44,427,695,jokes,escape room,13,roulette
38,dark,true,76,620,424,jokes,puzzle,20,slot machine
8,light,false,37,353,13,jokes,maze,17,roulette
55,dark,false,53,377,297,trivia,maze,9,slot machine
74,colorful,true,66,482,217,jokes,puzzle,7,slot machine
86,colorful,false,65,342,512,jokes,puzzle,4,slot machine
64,colorful,false,63,467,219,jokes,puzzle,19,bingo
17,light,true,38,660,796,jokes,escape room,11,roulette
57,colorful,false,35,369,246,trivia,puzzle,20,bingo
71,light,false,60,293,885,jokes,puzzle,17,slot machine
25,dark,false,70,614,670,riddles,puzzle,14,roulette
39,dark,true,77,790,386,trivia,maze,5,bingo
38,light,true,23,111,224,trivia,escape room,13,roulette
8,light,true,93,974,933,trivia,puzzle,19,slot machine
70,light,false,75,461,190,trivia,puzzle,17,slot machine
82,colorful,true,89,488,311,trivia,puzzle,15,bingo
8,colorful,false,85,949,179,jokes,puzzle,8,slot machine
11,light,true,54,223,951,trivia,puzzle,4,slot machine
91,dark,true,99,613,684,trivia,escape room,20,roulette
47,dark,true,79,683,508,riddles,puzzle,15,bingo
17,dark,false,41,361,160,trivia,escape room,4,bingo
66,light,true,74,159,612,jokes,puzzle,4,slot machine
29,light,true,42,591,830,trivia,puzzle,8,bingo
93,colorful,true,26,342,973,riddles,maze,8,slot machine
5,colorful,false,20,683,882,jokes,puzzle,11,bingo
7,dark,true,83,504,438,trivia,maze,10,slot machine
31,light,true,35,16,934,riddles,maze,14,slot machine
71,light,true,54,825,776,riddles,escape room,17,slot machine
87,colorful,true,17,447,922,jokes,maze,7,bingo
19,dark,true,40,511,792,jokes,maze,20,slot machine
60,dark,true,85,149,820,riddles,escape room,20,slot machine
79,dark,false,85,311,762,jokes,maze,19,roulette
42,light,false,14,83,742,jokes,maze,6,bingo
63,dark,false,42,665,916,jokes,maze,16,bingo
38,light,true,83,668,757,riddles,maze,5,roulette
53,dark,false,29,894,128,riddles,puzzle,6,bingo
9,colorful,false,16,984,467,riddles,escape room,19,bingo
33,colorful,false,100,685,991,trivia,escape room,5,bingo
8,colorful,true,73,811,750,jokes,maze,15,roulette
67,colorful,true,28,770,942,jokes,maze,19,slot machine
5,colorful,true,95,384,535,jokes,escape room,3,slot machine
38,dark,false,65,931,987,trivia,maze,13,roulette
62,colorful,true,57,370,553,trivia,maze,18,roulette
99,light,true,50,512,793,trivia,maze,18,slot machine
37,light,true,21,426,805,trivia,escape room,4,bingo
71,colorful,true,65,446,413,riddles,puzzle,11,slot machine
27,dark,false,38,160,979,riddles,escape room,8,bingo
7,light,true,10,497,498,trivia,escape room,10,slot machine
22,colorful,false,75,625,621,jokes,puzzle,17,slot machine
9,light,true,12,414,929,trivia,puzzle,3,roulette
43,dark,true,50,156,416,riddles,maze,10,roulette
36,colorful,false,74,167,377,jokes,escape room,11,slot machine
63,colorful,false,49,881,498,jokes,escape room,16,roulette
21,light,false,78,48,598,riddles,maze,3,bingo
36,light,false,12,481,380,riddles,puzzle,5,roulette
58,dark,false,89,815,611,jokes,escape room,3,bingo
55,dark,true,74,972,867,jokes,maze,11,slot machine
37,colorful,true,50,206,537,riddles,maze,13,bingo
5,light,true,54,57,241,trivia,puzzle,11,roulette
25,colorful,false,24,130,272,jokes,puzzle,9,bingo
51,light,false,94,643,900,riddles,maze,14,roulette
50,dark,false,86,896,556,jokes,escape room,1,roulette
31,colorful,false,25,926,22,jokes,escape room,10,roulette
62,dark,false,24,450,439,trivia,puzzle,3,bingo
59,dark,true,94,818,198,trivia,escape room,13,roulette
44,light,false,52,127,854,riddles,puzzle,2,roulette
95,dark,true,13,237,129,trivia,puzzle,1,slot machine
24,colorful,true,46,927,193,jokes,puzzle,6,roulette
95,dark,false,93,996,848,riddles,puzzle,9,slot machine
71,light,true,43,748,879,riddles,escape room,17,slot machine
100,dark,true,93,23,268,trivia,escape room,10,slot machine
88,colorful,false,99,107,628,riddles,maze,16,slot machine
27,colorful,false,90,115,374,trivia,escape room,15,slot machine
37,colorful,false,14,657,543,trivia,maze,10,bingo
6,dark,true,57,972,369,trivia,escape room,20,bingo
87,light,true,58,424,708,trivia,maze,4,slot machine
66,colorful,false,47,404,63,trivia,puzzle,16,roulette
98,light,false,41,424,724,riddles,puzzle,7,bingo
52,colorful,true,24,975,329,jokes,puzzle,9,bingo
94,dark,false,22,498,913,jokes,escape room,11,slot machine
10,dark,true,47,51,29,jokes,puzzle,3,bingo
85,colorful,false,38,499,965,jokes,maze,6,roulette
82,colorful,false,10,65,976,riddles,puzzle,2,roulette
61,colorful,true,5,194,955,trivia,maze,18,bingo
6,dark,false,98,640,782,jokes,escape room,11,bingo
4,colorful,true,59,276,813,jokes,puzzle,9,bingo
25,light,false,67,84,302,riddles,maze,3,slot machine
34,light,false,80,480,882,jokes,escape room,3,bingo
19,colorful,false,25,366,298,trivia,puzzle,12,slot machine
74,light,false,77,175,151,jokes,maze,1,roulette
22,light,true,31,140,68,trivia,puzzle,2,roulette
78,light,false,100,517,810,trivia,maze,16,bingo
69,light,false,0,630,80,jokes,puzzle,18,bingo
97,colorful,true,76,475,13,jokes,maze,11,slot machine
29,dark,false,13,623,46,riddles,escape room,19,slot machine
68,dark,true,85,908,106,jokes,maze,18,bingo
74,light,true,65,205,745,jokes,maze,6,slot machine
18,dark,true,100,516,681,jokes,puzzle,16,roulette
80,light,true,68,763,383,riddles,puzzle,12,slot machine
90,colorful,true,15,118,662,trivia,puzzle,20,bingo
14,dark,false,11,141,67,riddles,escape room,16,slot machine
81,dark,false,87,235,754,trivia,escape room,8,slot machine
63,colorful,false,49,715,695,riddles,puzzle,13,roulette
96,dark,true,62,215,449,jokes,maze,17,slot machine
70,colorful,true,93,51,652,trivia,puzzle,15,bingo
33,light,true,22,189,639,trivia,maze,13,roulette
9,light,false,67,460,870,trivia,maze,15,roulette
88,dark,true,89,750,800,riddles,puzzle,18,roulette
69,colorful,true,66,181,296,riddles,escape room,2,bingo
51,dark,false,100,288,533,trivia,maze,3,bingo
77,light,false,37,722,46,jokes,maze,1,roulette
85,colorful,false,17,674,911,trivia,puzzle,16,roulette
74,colorful,true,18,998,755,jokes,escape room,16,slot machine
92,dark,false,59,934,201,riddles,puzzle,19,bingo
73,colorful,false,10,598,904,trivia,puzzle,9,slot machine
88,colorful,true,78,537,600,trivia,puzzle,13,slot machine
1,dark,false,40,779,689,jokes,maze,5,slot machine
82,dark,false,63,455,656,riddles,maze,7,roulette
64,colorful,false,36,405,574,riddles,puzzle,9,bingo
2,colorful,true,13,488,835,jokes,maze,3,roulette
3,light,true,9,643,975,trivia,puzzle,2,slot machine
39,colorful,false,32,702,75,riddles,puzzle,20,slot machine
18,dark,true,63,970,950,riddles,puzzle,12,bingo
22,dark,false,55,140,895,jokes,puzzle,8,slot machine
27,colorful,false,2,564,486,trivia,puzzle,13,slot machine
45,dark,false,14,953,983,jokes,maze,13,bingo
88,colorful,true,0,860,856,riddles,escape room,17,slot machine
44,dark,true,94,691,133,riddles,puzzle,9,slot machine
82,colorful,true,84,910,396,trivia,maze,7,bingo
37,light,true,73,981,285,trivia,puzzle,6,bingo
53,dark,true,70,643,105,jokes,puzzle,17,slot machine
41,light,false,14,37,976,jokes,escape room,4,slot machine
65,dark,true,23,256,871,trivia,puzzle,19,slot machine
95,colorful,false,6,211,693,riddles,puzzle,11,roulette
77,colorful,false,80,143,65,riddles,puzzle,15,bingo
53,dark,false,86,144,572,jokes,puzzle,2,slot machine
24,light,true,59,206,494,jokes,puzzle,13,bingo
45,colorful,false,84,969,346,riddles,puzzle,9,roulette
81,light,true,94,361,204,trivia,maze,1,slot machine
8,colorful,false,48,488,746,riddles,escape room,12,bingo
95,colorful,false,8,959,548,jokes,maze,1,slot machine
93,light,false,77,696,913,trivia,escape room,4,bingo
77,light,true,38,799,842,trivia,escape room,15,slot machine
87,colorful,true,37,405,67,riddles,puzzle,3,slot machine
46,light,false,24,963,410,jokes,puzzle,7,bingo
81,light,false,70,625,574,riddles,escape room,3,roulette
83,light,false,31,619,399,trivia,escape room,17,bingo
6,dark,true,100,667,642,trivia,escape room,9,bingo
