player_name,score,level,spin_result,lucky_number,animation_style,chaos_level,guessing_attempts,decision_made,wheel_color
Ty,293,4,draw,41,fade,3,1,yes,yellow
Sutherland,571,3,draw,83,zoom,4,6,maybe,red
Terrie,598,7,win,98,zoom,1,5,maybe,blue
Virgil,64,9,lose,76,fade,1,9,yes,yellow
Eleen,361,8,lose,63,bounce,5,1,yes,blue
Jim,315,6,lose,56,bounce,1,4,yes,yellow
Taite,19,5,draw,98,bounce,1,3,no,green
Maurizia,416,8,lose,3,bounce,2,1,no,yellow
Dick,207,1,win,16,bounce,5,7,no,yellow
Thorin,840,5,lose,56,zoom,3,7,no,yellow
Torre,757,8,lose,90,fade,4,8,yes,red
Gwyneth,25,3,lose,22,bounce,1,9,no,green
Chaim,328,5,lose,43,bounce,3,8,no,red
Kearney,500,7,draw,97,bounce,3,3,no,yellow
Legra,840,1,draw,78,bounce,1,3,no,blue
Pier,587,7,draw,69,zoom,2,4,yes,yellow
Kristi,16,2,win,2,bounce,5,10,no,yellow
Reider,504,1,win,40,zoom,2,8,no,green
Sloan,221,8,draw,81,zoom,4,1,yes,green
Jenni,377,10,lose,41,fade,1,9,no,red
Angelo,493,8,draw,48,fade,2,5,no,yellow
Kendrick,297,1,draw,76,fade,5,3,no,green
Jazmin,421,9,win,27,zoom,4,4,yes,blue
Lucias,384,2,win,10,bounce,3,5,yes,blue
Stuart,487,10,lose,63,bounce,3,8,no,yellow
Eward,210,2,draw,24,zoom,2,8,no,yellow
Donal,781,9,win,56,fade,2,2,no,green
George,352,3,win,10,zoom,2,2,no,red
Isador,948,4,win,22,bounce,4,4,yes,yellow
Pen,730,1,draw,24,bounce,5,3,maybe,blue
Gerri,485,9,lose,94,bounce,4,8,no,green
Ashley,107,5,lose,97,fade,2,9,yes,blue
Dolph,623,10,win,1,fade,1,1,maybe,red
Bella,525,6,win,3,fade,2,5,yes,green
Geoffry,344,10,lose,25,zoom,2,2,yes,green
Randolph,210,6,draw,29,fade,3,3,maybe,red
Earl,659,8,win,2,zoom,5,7,no,red
Calida,112,9,win,56,bounce,5,5,yes,blue
Amory,26,10,lose,8,bounce,5,10,maybe,blue
Vicki,743,5,lose,90,fade,3,2,no,yellow
Andie,435,1,lose,66,bounce,1,10,no,green
Padraig,134,3,draw,38,zoom,1,9,no,yellow
Agnese,454,3,win,32,zoom,5,7,no,blue
Tim,102,6,draw,36,zoom,4,1,maybe,yellow
Anica,895,2,lose,91,zoom,2,3,maybe,green
Mattie,438,9,draw,89,zoom,5,9,no,blue
Judith,429,8,draw,92,zoom,4,2,no,green
Kalli,603,2,lose,98,zoom,5,6,no,yellow
Vicky,571,8,win,26,fade,4,8,yes,red
Asa,215,3,lose,34,zoom,5,6,maybe,red
Gunner,174,1,win,14,zoom,5,5,maybe,blue
Eduino,349,9,lose,11,fade,1,3,no,blue
Gretta,304,10,lose,6,zoom,1,7,yes,green
Ellynn,509,1,lose,12,zoom,1,10,no,green
Storm,518,6,lose,12,fade,1,4,yes,green
Hyatt,582,6,win,28,fade,5,7,no,green
Maximilien,201,6,win,30,bounce,2,3,maybe,blue
Merralee,920,9,win,62,bounce,2,6,maybe,blue
Andee,406,8,draw,54,fade,1,9,maybe,yellow
Sue,674,3,win,94,zoom,5,8,no,yellow
Dodi,24,7,draw,100,bounce,4,8,maybe,yellow
Chelsey,644,6,draw,49,zoom,3,7,yes,yellow
Ros,224,8,lose,25,fade,1,2,maybe,yellow
Dene,794,9,lose,94,bounce,2,6,no,red
Baxter,337,10,lose,25,fade,4,10,yes,yellow
Adi,272,1,draw,80,fade,4,7,maybe,yellow
Cordelia,809,8,draw,19,fade,1,9,yes,green
Whittaker,451,7,draw,88,bounce,3,3,no,green
Jammal,730,10,draw,12,zoom,5,7,no,blue
Hoyt,974,8,win,14,zoom,3,8,yes,blue
Malena,517,8,win,91,fade,1,10,yes,red
Shelia,947,1,win,39,zoom,1,5,maybe,red
Gayle,410,3,draw,14,zoom,3,9,yes,green
Elbert,945,10,lose,6,zoom,2,4,no,blue
Eleonore,579,9,lose,65,bounce,2,4,no,yellow
Rose,143,2,win,5,fade,4,2,no,yellow
Judi,737,2,draw,76,bounce,2,9,no,blue
Sherlock,301,6,lose,89,fade,2,10,no,yellow
Sergent,259,3,win,66,zoom,2,1,no,green
Jamesy,673,4,draw,92,bounce,5,4,yes,red
Morissa,581,5,win,58,bounce,3,9,no,green
Raff,476,3,win,64,zoom,5,3,maybe,yellow
Franny,583,10,draw,74,bounce,5,5,yes,blue
Gus,667,9,win,86,bounce,2,10,yes,blue
Augusta,166,6,lose,53,bounce,5,5,no,yellow
Marnie,621,1,draw,100,bounce,1,7,maybe,yellow
Lydia,444,4,lose,9,zoom,2,5,no,green
Lulita,288,3,win,33,fade,2,3,maybe,yellow
Cathyleen,811,3,lose,30,zoom,1,2,yes,blue
Cyndi,840,7,lose,63,bounce,1,1,no,red
Clarey,726,8,win,36,bounce,2,9,yes,red
Eleanore,13,9,lose,81,fade,4,6,yes,green
Guilbert,933,10,lose,99,fade,5,8,maybe,green
Paloma,1000,7,lose,62,bounce,3,9,no,yellow
Alvan,594,5,win,56,fade,2,9,no,green
Sofie,246,6,lose,27,fade,2,2,yes,green
Darren,596,9,win,71,zoom,2,4,no,red
Chaddie,92,7,lose,91,bounce,4,5,no,yellow
Rutger,559,7,win,6,fade,5,9,maybe,green
Gallard,738,9,lose,55,zoom,4,5,yes,red
Brandy,832,5,draw,3,fade,2,9,no,green
Tybalt,155,9,lose,67,fade,3,7,yes,red
Cornall,1,7,lose,60,bounce,4,6,maybe,yellow
Sidonnie,917,6,win,42,zoom,3,10,yes,red
Arnaldo,38,6,win,89,fade,1,7,no,red
Jorie,268,1,lose,21,fade,5,8,yes,red
Robinet,985,5,win,39,zoom,1,8,maybe,blue
Augustin,222,3,lose,43,zoom,1,3,maybe,yellow
Reece,709,4,draw,53,bounce,4,10,yes,blue
Jean,462,2,win,73,zoom,2,8,yes,blue
Harlan,984,6,draw,30,bounce,2,9,yes,blue
Shalne,807,1,win,69,zoom,1,1,maybe,yellow
Norby,64,1,lose,55,zoom,3,7,yes,blue
Benjie,805,3,draw,90,zoom,2,3,yes,red
Lorie,331,10,win,24,fade,4,5,yes,green
Merilyn,246,1,draw,92,fade,1,10,maybe,yellow
Velma,205,9,win,59,bounce,1,2,no,blue
Christoph,644,9,lose,69,fade,4,3,maybe,green
Heda,463,10,lose,88,bounce,5,4,yes,blue
Wells,944,2,draw,85,zoom,3,8,no,yellow
Adan,16,1,win,71,bounce,2,1,yes,green
Kristien,377,10,draw,60,fade,5,5,yes,blue
Electra,792,3,lose,78,fade,1,10,no,red
Cacilia,660,1,win,22,bounce,1,6,maybe,green
Giordano,638,6,draw,26,zoom,5,6,no,blue
Fee,289,7,draw,48,fade,4,4,yes,red
Caren,487,1,draw,96,zoom,2,7,maybe,green
Charline,22,4,win,17,bounce,4,2,maybe,red
Allen,172,5,win,36,bounce,2,9,no,yellow
Wade,398,9,win,77,bounce,5,8,maybe,green
Thane,743,5,win,39,zoom,5,6,maybe,blue
Michal,685,5,draw,8,fade,5,6,maybe,green
Lavinie,106,8,win,83,bounce,5,1,yes,blue
Deni,784,9,draw,84,zoom,2,1,yes,green
Julia,130,3,win,20,fade,4,6,yes,red
Vito,41,10,win,73,zoom,4,5,no,red
Sheree,882,4,draw,65,bounce,4,7,maybe,green
Sue,990,9,lose,30,fade,3,10,maybe,green
Arin,959,10,draw,65,zoom,3,7,no,red
Pebrook,551,3,lose,4,bounce,1,3,yes,green
Willi,604,1,lose,73,zoom,1,6,no,green
Meredith,304,2,win,20,bounce,2,8,maybe,yellow
Billye,917,1,draw,30,fade,4,8,yes,red
Pace,908,8,win,99,zoom,3,5,maybe,red
Rod,384,2,win,3,bounce,2,5,yes,green
Maison,381,7,draw,75,fade,5,1,no,yellow
Sukey,132,7,win,38,zoom,4,6,yes,yellow
Phyllida,746,5,draw,28,fade,3,5,yes,red
Freedman,694,3,lose,59,bounce,4,4,yes,blue
Fiorenze,593,3,draw,66,bounce,5,6,no,blue
Wenona,88,10,draw,54,fade,3,3,yes,red
Wash,354,6,draw,32,zoom,5,1,no,yellow
Liliane,140,2,win,20,zoom,2,4,maybe,yellow
Ernest,222,4,win,88,bounce,5,9,yes,yellow
Jami,930,5,lose,75,zoom,5,8,maybe,green
Devi,96,8,draw,72,zoom,5,5,yes,yellow
Bernie,428,5,draw,21,bounce,5,7,maybe,green
Isabel,157,7,lose,66,zoom,2,9,yes,green
Amil,788,3,win,100,bounce,4,4,yes,green
Branden,171,3,lose,72,fade,2,4,maybe,yellow
Eldredge,756,3,draw,36,zoom,3,7,maybe,blue
Loydie,796,2,win,33,zoom,1,3,no,blue
Sigfrid,593,6,win,73,fade,4,7,yes,green
Giorgia,971,5,win,76,fade,1,2,maybe,red
Stanislaus,648,3,lose,10,zoom,2,9,maybe,red
Janeta,97,10,lose,47,fade,1,8,maybe,blue
Filia,601,5,win,26,fade,1,2,maybe,yellow
Imelda,874,6,draw,72,fade,3,8,no,yellow
Hanna,595,3,draw,39,fade,1,7,yes,blue
Livvy,875,9,win,45,zoom,2,3,maybe,yellow
Laurena,836,1,win,40,bounce,3,10,maybe,blue
Park,785,9,draw,67,fade,1,4,yes,red
Gloria,816,7,lose,23,zoom,2,6,maybe,blue
Minnnie,985,1,win,81,zoom,4,6,no,yellow
Lyn,161,8,lose,30,fade,1,10,yes,yellow
Allie,482,10,draw,46,zoom,2,10,yes,green
Brandy,668,1,draw,27,bounce,4,8,yes,yellow
Shirl,223,3,lose,70,bounce,3,3,maybe,green
Georgetta,226,10,win,58,zoom,3,2,yes,red
Darline,525,9,lose,23,zoom,2,1,yes,blue
Letti,997,6,lose,85,bounce,4,2,maybe,yellow
Gaynor,273,7,lose,41,zoom,1,7,yes,red
Dix,984,9,draw,40,zoom,4,7,no,blue
Will,508,5,win,78,fade,3,7,no,blue
Rochette,279,2,win,94,bounce,1,1,yes,red
Jourdan,470,1,lose,1,fade,4,3,no,green
Pieter,600,8,win,30,zoom,1,4,no,green
Noland,380,4,draw,97,bounce,5,2,yes,yellow
Quentin,672,4,win,48,bounce,3,3,maybe,blue
Saidee,959,1,lose,46,zoom,1,7,maybe,yellow
Murielle,867,1,win,95,zoom,4,9,yes,red
Catlaina,708,10,draw,9,zoom,4,5,no,blue
Jarvis,125,8,win,65,zoom,3,7,yes,red
Tommy,50,5,win,69,fade,2,5,yes,red
Daven,784,10,draw,65,zoom,1,7,no,green
Nehemiah,660,3,draw,69,fade,5,1,yes,blue
Faydra,335,2,win,28,fade,2,6,no,green
Ruthe,521,4,lose,72,zoom,4,7,yes,blue
Munmro,675,6,draw,88,zoom,4,6,yes,blue
Danna,418,10,draw,87,zoom,4,5,yes,green
Barbra,118,2,lose,86,fade,4,10,yes,yellow
Cori,9,7,win,29,bounce,5,10,no,blue
Scotti,971,9,lose,17,zoom,5,4,yes,blue
Fanya,491,10,draw,68,fade,3,1,no,yellow
Josy,899,5,lose,89,zoom,3,2,no,red
Darby,884,8,win,64,bounce,1,4,no,green
Berke,916,3,lose,81,bounce,3,9,yes,blue
Aundrea,611,7,draw,55,zoom,3,1,no,yellow
Amber,902,5,draw,67,fade,4,10,yes,yellow
Joellyn,582,6,win,4,zoom,2,10,no,green
Petunia,547,6,draw,34,fade,3,8,maybe,blue
Maxim,333,10,draw,72,fade,1,5,yes,blue
Ginnifer,150,5,lose,97,zoom,3,4,no,green
Elenore,169,2,lose,56,bounce,4,5,yes,green
Yankee,637,7,win,66,bounce,3,10,no,yellow
Emilio,95,8,win,99,fade,2,8,yes,yellow
Anica,131,6,win,33,fade,1,5,maybe,red
Valdemar,37,5,win,96,zoom,5,10,maybe,blue
Minnaminnie,595,9,draw,68,fade,1,5,no,green
Jennette,278,2,win,11,bounce,4,1,yes,red
Jo,312,10,draw,14,fade,2,1,yes,red
Salome,898,10,win,87,bounce,5,6,maybe,yellow
Davidson,620,4,win,8,zoom,3,6,no,red
Misti,886,3,win,12,fade,4,9,maybe,green
Woodrow,760,10,draw,44,bounce,3,10,no,green
Randa,263,3,draw,81,fade,4,5,yes,yellow
Chris,518,1,win,53,bounce,2,7,no,yellow
Auberta,803,6,lose,47,zoom,4,4,no,blue
Parsifal,603,7,win,61,bounce,5,9,maybe,blue
Feodor,263,2,lose,26,fade,2,3,yes,red
Burtie,251,9,draw,90,fade,4,1,no,yellow
Olag,436,10,draw,32,zoom,2,4,maybe,yellow
Toddie,672,2,draw,71,fade,5,6,no,green
Clotilda,651,5,win,17,bounce,3,9,yes,red
Juliane,636,1,draw,81,bounce,4,3,maybe,blue
Edward,988,9,win,48,fade,5,5,yes,green
Hortensia,898,9,lose,27,bounce,2,6,maybe,green
Ashlan,456,7,win,73,zoom,4,10,maybe,yellow
Britni,408,10,win,98,zoom,1,3,no,red
Rey,998,9,draw,79,zoom,1,4,yes,red
Tremaine,512,8,lose,10,zoom,3,3,no,red
Shane,640,3,lose,24,bounce,1,7,yes,green
Gerta,144,3,win,79,bounce,2,3,yes,red
Alvie,418,10,lose,10,zoom,3,2,no,blue
Morgan,357,7,draw,27,bounce,2,1,no,green
Thomasin,755,7,lose,59,zoom,4,2,no,red
Rock,702,6,lose,4,bounce,2,3,yes,yellow
Karleen,495,3,lose,61,bounce,4,2,yes,red
Alverta,849,2,win,84,bounce,3,2,no,green
Patton,888,10,win,29,zoom,3,8,no,blue
Miran,955,6,win,38,zoom,5,5,no,yellow
Lisha,323,6,lose,52,zoom,2,9,no,yellow
Bernadina,262,2,lose,65,bounce,3,10,no,green
Darcy,474,1,win,34,zoom,5,1,maybe,red
Loni,892,3,win,19,zoom,5,4,yes,yellow
Lanae,35,9,lose,41,fade,5,5,no,green
Rayshell,935,9,win,61,fade,1,10,maybe,yellow
Elias,263,4,draw,98,bounce,1,4,no,blue
Aldric,670,6,draw,84,bounce,5,9,no,blue
Alice,265,7,draw,2,bounce,1,5,no,red
Ros,662,3,draw,27,zoom,4,2,yes,blue
Truman,124,7,lose,43,fade,4,1,maybe,blue
Lenora,747,2,draw,95,zoom,1,4,no,red
Clive,23,6,lose,63,zoom,5,10,maybe,red
Brooks,418,8,lose,5,bounce,5,3,maybe,green
Massimo,333,3,lose,83,bounce,4,9,maybe,yellow
Carolus,256,1,lose,20,fade,4,2,yes,red
Ax,984,9,lose,73,bounce,4,2,no,green
Noellyn,483,5,draw,48,fade,5,2,maybe,yellow
Rutherford,612,8,win,37,zoom,2,4,no,red
Kitti,681,6,win,34,fade,3,4,maybe,green
Wheeler,920,3,win,12,bounce,1,7,yes,green
Wilone,7,8,draw,35,zoom,1,4,yes,yellow
Diena,80,10,lose,73,zoom,2,1,yes,red
Orelle,536,10,draw,64,zoom,2,4,maybe,blue
Lynea,801,6,lose,61,bounce,2,10,maybe,yellow
Zacharias,470,2,lose,75,zoom,1,9,no,blue
Blakeley,609,9,win,94,fade,1,5,yes,blue
Maisey,448,5,win,70,zoom,5,10,no,red
Mufinella,943,1,win,10,fade,1,6,no,green
Shandra,818,4,draw,77,bounce,2,10,yes,green
Alexandro,71,5,lose,34,bounce,1,10,no,yellow
Daffi,258,10,lose,71,fade,1,8,no,blue
Noellyn,949,8,lose,62,zoom,1,1,maybe,yellow
Jemima,961,8,win,48,bounce,4,3,yes,yellow
Skye,146,2,win,39,bounce,5,5,no,red
Freeland,508,8,draw,60,bounce,1,7,maybe,red
Linn,511,5,lose,10,fade,5,8,maybe,blue
Karia,528,5,win,24,fade,1,7,yes,blue
Cathy,837,2,win,49,fade,4,6,yes,red
Austen,880,4,draw,15,zoom,5,5,no,red
Druci,317,5,lose,26,fade,2,2,maybe,red
Charmian,5,6,draw,77,zoom,1,10,yes,yellow
Lorin,837,5,win,42,zoom,3,7,yes,blue
Audrey,3,1,win,82,fade,1,10,no,green
Randell,77,1,win,19,fade,2,3,maybe,green
Arlyn,115,7,draw,6,bounce,1,3,no,green
Hedvige,23,7,draw,15,zoom,4,8,no,green
Susannah,643,1,draw,66,bounce,2,9,no,red
Barbette,684,9,win,23,fade,4,6,yes,yellow
Lenci,525,5,lose,72,bounce,1,1,no,yellow
Millisent,408,6,lose,65,zoom,4,5,yes,red
Dale,686,1,win,94,bounce,2,5,no,blue
Abbey,544,8,win,58,bounce,2,9,no,red
Madelin,135,8,win,55,zoom,5,2,yes,blue
Wells,131,2,win,3,bounce,1,2,maybe,green
Nedda,143,4,lose,15,fade,3,10,yes,green
Phillida,853,7,lose,90,bounce,4,3,maybe,yellow
Brandice,455,8,win,70,zoom,5,7,yes,blue
Roosevelt,110,8,lose,67,fade,1,8,yes,yellow
Karina,907,3,lose,29,bounce,1,1,maybe,yellow
Dyann,109,9,lose,12,zoom,1,10,no,yellow
Nanine,630,5,draw,56,fade,1,4,no,blue
Rozanna,440,2,draw,27,fade,1,2,maybe,yellow
Dale,362,7,lose,78,zoom,2,2,no,red
Pansy,37,4,draw,46,bounce,2,3,maybe,red
Joanna,816,2,lose,57,fade,5,2,no,yellow
Caspar,18,5,win,88,bounce,2,6,maybe,yellow
Ana,124,5,draw,89,fade,5,7,no,yellow
Truda,273,1,lose,58,bounce,4,7,no,red
Maryjane,916,2,win,89,bounce,3,1,no,red
Nissa,616,10,win,51,bounce,1,7,yes,green
Klement,63,3,lose,73,bounce,4,8,yes,yellow
Hugues,757,6,win,62,bounce,5,4,yes,yellow
Tamas,216,1,lose,69,bounce,4,7,yes,blue
Aaron,363,2,lose,84,zoom,1,2,no,yellow
Delphinia,317,8,draw,42,bounce,5,3,no,red
Benton,370,1,win,39,fade,1,9,maybe,green
Raleigh,174,9,lose,15,zoom,4,4,yes,blue
Florian,488,9,lose,99,fade,2,10,yes,green
Woodie,619,9,draw,62,fade,3,9,no,green
Amble,93,8,win,41,bounce,1,10,maybe,yellow
Bevin,907,8,lose,72,fade,3,6,yes,blue
Vannie,29,7,win,32,zoom,3,8,maybe,green
Clay,417,2,lose,74,fade,3,3,no,red
Neille,424,4,draw,35,fade,2,9,maybe,blue
Rosette,368,5,lose,40,bounce,5,5,maybe,blue
Larina,356,9,win,62,bounce,5,1,maybe,red
Osbourne,863,3,draw,57,fade,1,10,no,yellow
Paco,388,6,win,77,bounce,5,4,maybe,green
Vaclav,35,10,draw,47,bounce,2,10,maybe,red
Wallis,961,10,lose,19,bounce,4,10,yes,blue
Humphrey,247,6,lose,82,bounce,5,6,maybe,blue
Jania,777,8,lose,57,fade,5,7,yes,yellow
Dalton,675,6,win,87,zoom,5,7,no,yellow
Ermina,95,9,lose,62,bounce,1,2,yes,red
Carmela,708,4,win,16,bounce,1,1,yes,green
Darby,124,9,draw,70,zoom,3,6,yes,yellow
Isis,498,2,lose,66,bounce,5,7,no,green
Vivyan,371,8,win,86,zoom,5,10,yes,green
Malachi,302,8,draw,49,bounce,3,2,maybe,green
Marylinda,811,7,lose,74,fade,5,1,yes,green
Milty,776,8,win,89,zoom,1,8,maybe,green
Brit,255,5,lose,7,bounce,2,7,maybe,yellow
Micheline,170,5,win,60,zoom,2,4,maybe,yellow
Ferris,789,8,draw,7,bounce,1,6,yes,green
Way,113,10,win,5,bounce,1,3,yes,yellow
Cornall,228,9,draw,90,zoom,3,9,no,yellow
Ferdinanda,23,9,draw,49,fade,1,5,maybe,blue
Dore,771,1,win,71,fade,5,9,yes,yellow
Freeland,94,8,lose,78,zoom,4,4,no,blue
Maxie,738,2,draw,17,bounce,5,1,yes,blue
Laural,89,10,draw,30,fade,4,3,maybe,red
Ephraim,630,4,draw,28,bounce,5,3,maybe,green
Matt,183,9,lose,33,zoom,3,4,no,yellow
Lind,190,5,win,49,zoom,3,1,yes,yellow
Ashil,934,1,win,48,bounce,5,6,no,blue
Korey,126,8,draw,59,fade,5,10,maybe,yellow
Granville,20,3,lose,32,fade,5,7,no,yellow
Harris,173,2,lose,83,fade,2,2,maybe,red
Bliss,360,7,draw,12,bounce,3,6,no,blue
Jessica,517,3,draw,14,fade,2,1,yes,red
Ken,940,2,win,40,zoom,4,2,yes,yellow
Karna,131,1,draw,82,bounce,4,6,no,blue
Emlen,466,2,lose,96,fade,4,10,maybe,green
Arlana,489,4,lose,61,bounce,1,7,yes,green
Lief,356,5,win,38,fade,3,3,yes,red
Findlay,631,4,win,94,bounce,2,1,no,green
Ailbert,16,6,win,94,zoom,4,5,maybe,red
Paten,74,4,draw,75,zoom,4,1,maybe,yellow
Lorene,839,5,win,60,bounce,4,7,no,yellow
Hi,0,3,draw,8,bounce,3,3,yes,red
Caryl,19,7,lose,18,zoom,3,4,maybe,blue
Vivian,36,4,lose,79,zoom,5,1,maybe,blue
Weston,173,2,win,14,fade,2,1,no,yellow
Mellisent,21,2,win,23,bounce,5,5,yes,yellow
Bibbie,612,7,win,79,bounce,2,5,maybe,red
Perry,781,7,win,13,fade,1,1,maybe,green
Averil,197,5,lose,65,fade,5,9,no,blue
Connor,549,2,lose,9,zoom,3,3,no,red
Conrado,189,1,draw,26,zoom,3,5,no,yellow
Hendrika,357,8,draw,87,zoom,4,3,no,red
Rosabella,575,5,lose,59,bounce,3,8,maybe,green
Shalna,763,2,lose,77,bounce,3,3,no,green
Kleon,365,1,draw,97,fade,3,7,yes,blue
Cullie,266,8,lose,89,zoom,1,7,maybe,yellow
Tanya,275,8,win,5,zoom,5,6,maybe,green
Jillian,120,5,lose,48,fade,2,8,no,yellow
Roanna,269,9,win,90,zoom,5,6,maybe,red
Fredra,481,7,win,22,fade,3,8,no,yellow
Kathi,650,5,win,73,bounce,3,2,no,blue
Roth,186,8,draw,3,bounce,2,10,no,green
Dean,337,8,win,41,fade,1,3,yes,blue
Andria,586,5,win,12,zoom,5,1,no,green
Evelina,681,6,lose,69,bounce,4,4,maybe,red
Matthaeus,598,1,win,15,fade,4,10,yes,green
Vikky,531,5,draw,6,zoom,1,7,yes,green
Lara,292,8,draw,45,bounce,5,5,no,green
Wallie,297,3,draw,33,bounce,2,9,maybe,green
Carin,249,7,lose,19,fade,3,1,maybe,yellow
Claude,635,8,draw,92,fade,5,2,no,red
Gipsy,279,10,win,25,bounce,3,8,maybe,blue
Lynnett,462,8,win,52,fade,2,10,maybe,blue
Xena,673,1,win,72,bounce,5,5,maybe,yellow
Jens,403,1,lose,28,zoom,5,5,yes,yellow
Urban,748,3,win,49,bounce,2,10,yes,green
Kat,892,7,draw,57,fade,2,5,maybe,green
Chelsie,251,1,win,22,zoom,3,2,maybe,yellow
Freddie,28,8,win,8,bounce,3,8,maybe,yellow
Shellie,367,6,lose,49,bounce,3,9,maybe,blue
Wallas,560,4,lose,48,zoom,1,9,no,yellow
Liz,879,4,draw,64,fade,2,7,no,red
Emlyn,309,4,draw,89,zoom,1,1,maybe,blue
Sheilakathryn,509,6,win,8,fade,5,3,no,red
Felike,955,8,draw,45,bounce,5,7,yes,red
Wells,443,6,draw,42,zoom,1,1,maybe,red
Ruttger,984,2,draw,5,fade,4,6,no,red
Dorothee,412,1,win,37,bounce,1,10,no,green
Gianni,80,6,win,58,fade,3,10,no,red
Marty,991,8,lose,89,bounce,3,10,maybe,yellow
Kristal,995,7,win,91,zoom,4,1,maybe,green
Thatcher,469,1,lose,93,bounce,1,4,maybe,blue
Ursala,420,9,draw,9,bounce,4,1,no,green
Nicolis,102,5,win,95,fade,2,9,no,blue
Kasper,881,9,win,17,fade,4,9,yes,yellow
Midge,965,1,win,17,fade,3,10,no,red
Leticia,110,3,draw,40,fade,2,9,maybe,blue
Junie,790,8,win,82,fade,5,7,maybe,yellow
Gorden,1000,4,win,36,zoom,2,2,yes,blue
Danila,560,10,draw,90,zoom,3,6,yes,yellow
Gardie,532,3,draw,34,fade,1,4,yes,red
Fleurette,518,7,draw,40,zoom,4,1,yes,red
Karine,170,9,draw,47,fade,1,1,yes,yellow
Reilly,959,6,win,21,bounce,3,5,no,red
Bevon,173,3,win,25,fade,2,10,maybe,yellow
Katherine,480,3,draw,97,zoom,3,6,no,blue
Sonny,203,9,win,32,zoom,3,9,maybe,green
Drusy,109,1,win,79,bounce,3,7,yes,blue
Dory,605,9,draw,38,zoom,1,8,no,yellow
Isidora,105,6,win,62,bounce,1,9,yes,red
Muhammad,195,5,win,94,bounce,5,3,no,green
Gilburt,686,5,draw,21,bounce,3,6,maybe,blue
Gardiner,785,2,win,89,fade,1,3,maybe,yellow
Cass,90,10,draw,45,fade,5,10,maybe,yellow
Keefe,37,6,lose,54,fade,3,6,maybe,yellow
Marquita,315,8,win,21,zoom,3,10,no,yellow
Borg,487,4,draw,83,bounce,3,1,maybe,blue
Regan,885,10,lose,19,fade,1,8,no,blue
Tally,589,8,lose,55,fade,5,4,yes,yellow
Alejandra,509,5,lose,56,fade,5,9,maybe,blue
Heidie,573,7,draw,55,zoom,4,2,maybe,green
Brewster,149,6,lose,26,bounce,3,9,no,green
Cloris,589,10,lose,1,fade,2,2,maybe,blue
Francois,352,3,win,45,zoom,1,3,yes,yellow
Lydia,727,8,win,78,bounce,2,10,maybe,red
Bill,167,5,lose,76,zoom,3,3,maybe,green
Melany,203,7,lose,65,zoom,3,3,maybe,green
Ches,932,6,lose,7,zoom,5,10,no,red
Brigid,7,6,win,44,bounce,4,1,maybe,red
Gian,47,5,lose,35,bounce,5,4,yes,yellow
Tris,624,6,win,93,zoom,2,4,maybe,red
Carlotta,558,5,lose,97,bounce,2,3,maybe,yellow
Heall,931,9,win,62,zoom,1,2,maybe,green
Miltie,119,5,draw,1,zoom,3,7,maybe,yellow
Shayna,385,3,lose,84,zoom,2,4,yes,yellow
Dewey,220,6,draw,50,zoom,4,9,no,yellow
Dniren,79,9,draw,85,fade,3,8,maybe,blue
Zulema,528,8,win,40,bounce,3,7,yes,green
Keith,468,3,draw,1,bounce,2,8,yes,blue
Tully,776,1,lose,65,bounce,1,10,maybe,yellow
Emmaline,17,7,lose,36,fade,1,8,maybe,blue
Winslow,556,8,draw,11,zoom,1,10,maybe,red
Lawry,276,9,win,82,fade,4,9,maybe,blue
Jaquenette,963,6,lose,48,bounce,1,4,no,red
Kacey,424,6,lose,52,bounce,4,3,no,yellow
Rey,362,10,lose,36,zoom,4,9,yes,green
