lucky_number,spin_result,numerology_score,guessed_number,wheel_color,chaos_factor,random_number,guessing_attempts,generated_number,neon_style
20,lose,20,1,#ee7bd9,8,66,3,75,bright
12,win,32,2,#10a789,8,96,5,20,bright
64,lose,38,3,#c34d49,1,15,4,16,bright
99,lose,90,2,#f9eb44,1,76,3,89,vibrant
68,draw,26,7,#568949,2,75,4,27,flashy
75,draw,46,6,#b53e2b,5,56,1,5,vibrant
58,win,49,5,#9d0683,4,6,5,20,bright
87,win,78,6,#199966,3,72,4,67,flashy
38,lose,76,3,#f8e224,8,47,1,68,flashy
76,lose,74,9,#c53f9b,4,5,4,92,vibrant
82,draw,7,1,#fb0108,5,88,2,12,bright
67,draw,8,2,#9ea207,10,19,4,75,bright
49,draw,28,2,#b403da,5,46,4,48,flashy
45,draw,53,1,#d481b2,4,36,4,90,flashy
97,lose,32,5,#02156d,1,45,5,34,flashy
68,draw,46,9,#d1b4bc,7,10,1,35,bright
8,draw,59,1,#c3c033,10,92,5,64,flashy
91,draw,89,9,#558d5c,4,15,4,42,bright
29,win,88,4,#7af878,5,67,3,84,bright
68,draw,81,1,#6694c9,0,14,2,73,bright
28,lose,29,10,#108b31,8,29,1,28,flashy
40,draw,30,7,#eb4a7a,6,61,3,80,bright
32,draw,40,7,#4da857,5,3,1,15,flashy
82,lose,55,6,#eac108,1,53,3,7,flashy
47,win,97,3,#0732fc,6,87,4,70,vibrant
96,lose,86,6,#d85d6a,7,20,2,83,vibrant
13,draw,78,4,#0d15cb,8,74,1,7,vibrant
60,draw,44,6,#133f9a,7,51,3,46,bright
7,lose,0,8,#b3b97b,3,14,4,22,bright
29,draw,57,10,#13733f,5,75,1,100,vibrant
75,lose,21,5,#8ff851,3,45,2,12,flashy
86,draw,75,8,#1182e4,7,35,4,44,flashy
92,win,70,10,#dca482,2,52,4,67,flashy
24,lose,17,3,#ce8e92,0,74,1,97,bright
72,lose,87,6,#953340,5,11,2,74,vibrant
94,draw,45,8,#94ee5d,1,69,2,21,vibrant
83,lose,44,3,#cd62e6,0,10,3,14,flashy
23,win,90,6,#fe03fb,9,5,5,78,vibrant
52,win,12,7,#298d2f,1,81,5,13,bright
24,win,48,2,#99aa8c,6,80,1,25,bright
6,draw,30,1,#c726cd,5,79,1,64,vibrant
21,win,25,9,#9e5ae8,8,87,1,64,flashy
70,lose,58,2,#e4d7fa,10,81,4,5,bright
29,lose,7,8,#f09911,8,83,3,4,vibrant
59,draw,16,10,#4e101e,4,68,1,55,bright
68,win,38,3,#741b34,9,96,1,40,bright
66,lose,85,2,#48a2a9,0,9,1,28,bright
24,draw,87,6,#4c37b6,4,68,1,55,vibrant
2,draw,62,6,#113743,0,77,3,72,flashy
66,draw,47,7,#9f02e3,4,59,4,53,vibrant
22,win,9,5,#3ffd0e,2,6,2,94,flashy
29,win,78,3,#3c75ba,3,29,4,33,vibrant
17,draw,42,9,#e5a891,4,61,4,46,bright
61,lose,41,5,#e7b4b1,7,79,5,67,vibrant
1,draw,4,2,#6adba4,6,64,1,23,vibrant
42,draw,34,6,#3b2289,7,86,5,14,bright
35,lose,22,2,#1b7145,7,57,4,92,vibrant
18,win,43,5,#1a5ff7,0,45,5,66,vibrant
75,win,58,3,#3b7e5c,5,27,3,66,vibrant
44,draw,86,1,#56e5ea,6,45,5,99,flashy
14,lose,59,9,#b23ed3,10,66,1,79,flashy
98,draw,64,6,#c7bc36,2,55,2,34,vibrant
46,win,66,7,#350647,9,41,1,48,flashy
98,win,41,4,#3de970,9,90,2,24,vibrant
83,draw,5,9,#3df03a,2,19,3,92,flashy
50,draw,95,10,#f9f070,7,19,1,45,flashy
32,win,97,5,#3e01e1,5,28,1,55,flashy
91,lose,69,2,#0e0c0b,4,25,3,80,bright
94,win,50,4,#47f1f0,9,99,5,10,bright
82,win,89,9,#a2a3ee,0,60,1,4,vibrant
65,lose,34,6,#d1a285,7,47,2,58,bright
54,win,99,10,#7bb651,8,81,4,100,flashy
22,draw,75,5,#9f1df0,1,77,3,63,flashy
3,lose,77,1,#d5decd,8,72,5,100,bright
74,win,91,8,#b14bfc,10,2,4,23,flashy
14,win,69,2,#853bba,0,31,5,53,flashy
59,win,29,1,#4bf036,5,51,2,39,bright
100,win,68,6,#7ffac3,2,28,2,87,vibrant
38,win,79,7,#b5f324,9,51,2,69,bright
12,win,61,8,#c03e22,6,37,5,71,vibrant
17,win,26,3,#4169a8,7,22,1,23,vibrant
62,win,18,10,#8ce739,5,11,1,20,flashy
69,win,42,2,#cca618,1,85,4,12,flashy
20,draw,94,6,#82a83e,4,37,4,13,bright
98,lose,31,5,#2da327,0,22,3,49,bright
75,win,24,9,#152af9,7,73,3,15,bright
47,win,37,10,#491fde,9,8,3,11,bright
44,win,85,9,#5cf827,3,97,1,74,flashy
73,win,7,9,#bda09e,2,50,2,76,bright
1,lose,18,2,#ce4542,2,3,1,15,flashy
30,draw,97,4,#979808,9,29,4,55,vibrant
81,draw,33,2,#aeb30f,0,80,4,81,vibrant
68,lose,71,6,#499b74,3,49,4,70,bright
51,lose,84,6,#cb0ba1,6,77,4,68,bright
49,lose,37,7,#733ad8,8,30,5,56,flashy
51,lose,73,7,#627bc2,4,91,2,77,flashy
13,win,44,10,#669c80,7,31,5,90,vibrant
97,lose,63,4,#41c333,8,63,4,16,flashy
7,win,85,10,#5197b8,1,7,3,87,flashy
46,lose,53,8,#c0ab9b,7,77,3,90,vibrant
28,win,100,1,#4268bd,4,5,5,53,bright
49,lose,24,4,#a06341,1,32,5,47,vibrant
68,draw,18,4,#ee9c08,3,53,3,31,vibrant
29,win,8,6,#ac27d8,7,33,5,27,vibrant
71,lose,95,1,#f4690e,10,78,5,39,vibrant
90,win,2,7,#389c3c,9,13,2,88,vibrant
34,lose,17,4,#d9d8f4,8,68,3,26,bright
1,win,3,5,#f3d5b1,0,64,5,65,flashy
46,win,2,7,#c4f082,7,70,2,73,vibrant
17,draw,33,2,#77f16c,2,26,2,39,bright
36,draw,82,3,#9f1530,9,84,3,100,bright
59,lose,56,10,#de0b73,10,71,2,34,vibrant
12,win,45,3,#971cc0,8,10,2,50,flashy
92,lose,10,2,#a658ef,8,63,3,2,bright
15,lose,58,4,#c5d25f,6,72,4,2,bright
5,draw,15,7,#6597e4,6,94,2,59,bright
89,win,72,6,#333b75,4,60,5,93,flashy
33,win,59,8,#339101,2,5,2,81,flashy
71,draw,81,8,#a1ed29,2,57,3,93,bright
81,lose,18,1,#b3162f,10,86,3,53,bright
96,win,89,7,#7cd9d9,3,64,4,56,flashy
50,win,67,2,#c57c91,10,72,4,54,bright
86,draw,43,7,#399122,3,6,5,8,vibrant
30,draw,23,3,#73bbe5,5,19,4,27,vibrant
71,win,69,7,#6512e3,4,31,5,58,bright
74,draw,92,6,#dea834,3,70,2,57,vibrant
65,win,24,3,#a58c6e,1,46,1,81,bright
29,lose,48,9,#450119,0,77,3,80,vibrant
47,lose,76,1,#f57ac2,6,23,2,8,bright
91,draw,71,8,#54987a,1,52,5,21,flashy
49,draw,88,1,#2cc29d,0,32,1,88,vibrant
71,draw,77,8,#ebd159,6,98,3,29,bright
77,lose,14,1,#bde9b2,5,22,5,59,bright
71,lose,33,2,#964e41,2,65,3,99,vibrant
77,draw,30,2,#5401a9,0,56,2,93,vibrant
3,lose,53,8,#f0ef3c,8,16,5,58,flashy
78,draw,44,5,#b8823b,6,9,5,33,bright
44,draw,14,1,#984624,3,91,4,65,vibrant
9,lose,28,3,#206c12,7,27,2,85,vibrant
1,win,10,7,#86de47,3,98,5,95,vibrant
77,draw,51,7,#578fec,6,41,2,34,vibrant
1,win,28,6,#144707,2,64,4,77,bright
5,draw,59,2,#c711d0,4,84,4,79,flashy
72,draw,60,4,#acb1a8,2,1,5,47,flashy
13,draw,63,2,#5e1505,6,25,3,9,flashy
88,win,19,2,#2804e8,2,96,1,75,vibrant
16,draw,7,3,#235f25,0,62,4,58,bright
62,lose,99,8,#d8d71f,6,46,4,52,vibrant
36,draw,42,4,#8f90b2,9,71,4,24,vibrant
69,draw,83,6,#6d7656,0,17,1,24,flashy
100,draw,31,8,#0b1f69,1,59,2,52,flashy
81,lose,69,4,#aa1e8e,7,2,5,16,flashy
85,draw,72,9,#0933d7,0,39,1,72,bright
98,draw,56,3,#4554e0,6,14,3,50,flashy
81,draw,84,2,#cab9c0,8,10,2,1,vibrant
99,lose,31,8,#c24cf3,1,14,5,73,bright
17,draw,27,5,#d89641,7,89,4,43,vibrant
23,win,7,4,#f576a2,10,36,4,15,bright
25,lose,13,10,#3e9258,7,85,5,9,vibrant
65,win,85,6,#a18f97,8,30,2,97,vibrant
74,win,49,9,#12b775,2,72,5,83,flashy
85,win,43,10,#0c718a,2,70,4,68,vibrant
70,draw,19,7,#25ef7a,5,65,3,71,vibrant
48,lose,11,4,#e62e31,2,54,5,20,vibrant
45,win,89,4,#2d14a2,8,76,1,32,flashy
46,draw,41,3,#168016,5,30,5,69,flashy
35,draw,12,10,#3d8e53,0,76,4,44,bright
25,win,15,1,#966c36,2,55,3,50,bright
72,lose,97,10,#d11490,7,100,4,68,vibrant
88,draw,40,8,#21f99e,2,36,5,46,bright
57,win,23,5,#d83bdc,4,31,4,62,vibrant
59,win,77,1,#3c7770,6,56,5,89,bright
23,draw,54,5,#0369e3,3,51,5,38,bright
39,lose,3,6,#214098,4,26,2,7,bright
29,draw,17,6,#48f4e9,0,84,5,85,vibrant
88,draw,93,5,#a8e39b,5,88,1,68,vibrant
49,lose,52,9,#b70228,7,10,3,54,vibrant
49,draw,100,3,#919982,1,84,4,8,flashy
71,lose,27,2,#540786,0,99,5,24,flashy
78,win,69,6,#f9013f,10,90,5,48,flashy
33,lose,42,8,#d3f753,0,60,2,97,vibrant
22,draw,42,8,#1e2f3d,4,45,1,80,bright
18,draw,33,1,#c7131c,3,61,2,76,bright
73,win,70,10,#7b7127,0,73,2,29,flashy
63,win,11,10,#4a4b35,9,65,3,47,flashy
8,draw,36,5,#fdd88d,7,35,1,90,bright
43,draw,33,1,#2a85e6,5,54,4,18,bright
94,lose,95,7,#975d2f,3,87,3,66,flashy
30,lose,68,2,#c781bc,9,96,3,5,bright
86,draw,65,3,#96610b,0,84,2,90,bright
50,draw,73,2,#7ac797,1,78,4,97,vibrant
76,draw,94,9,#8aeb3e,6,89,3,82,bright
57,lose,72,6,#f40722,4,83,1,48,flashy
66,draw,58,1,#6b516c,7,99,3,4,vibrant
57,draw,23,9,#e0730f,5,78,5,21,vibrant
43,lose,44,5,#20a207,8,35,3,38,flashy
78,draw,89,10,#3220d4,3,93,3,75,flashy
92,lose,65,4,#6ac34a,0,4,1,23,vibrant
79,draw,60,7,#9749c9,2,54,4,54,vibrant
49,win,65,10,#5e98ca,6,26,4,40,bright
12,draw,96,1,#db9b55,9,88,4,39,vibrant
8,draw,18,8,#b55691,8,13,2,71,vibrant
30,draw,75,5,#c2227d,3,6,3,95,flashy
79,lose,69,9,#dbd713,4,59,3,95,bright
19,draw,96,6,#57c026,7,83,4,32,vibrant
94,draw,21,9,#130f35,10,55,2,10,flashy
52,draw,70,10,#7235eb,0,5,5,89,flashy
95,lose,38,9,#988f6c,7,78,3,41,flashy
75,draw,56,1,#399dde,5,11,3,47,vibrant
28,lose,11,8,#962d93,5,29,4,67,bright
81,win,49,2,#82f77e,10,37,4,66,bright
12,draw,83,7,#5affe6,5,79,1,61,flashy
98,win,29,2,#8b5398,7,22,3,62,flashy
40,draw,58,2,#b6e4d1,8,48,5,28,flashy
71,win,67,4,#152442,3,25,5,66,vibrant
97,draw,14,6,#5a0ab8,2,83,5,55,flashy
98,draw,51,9,#b3e578,1,21,3,98,bright
46,lose,82,4,#85a896,0,19,4,70,flashy
23,draw,49,6,#0e6364,7,34,3,40,vibrant
10,win,41,3,#990943,2,53,4,6,flashy
54,win,14,4,#b6241f,0,24,5,36,vibrant
56,lose,52,7,#83465a,5,97,5,26,bright
40,draw,27,8,#213405,10,62,4,96,flashy
96,win,37,10,#acabfb,6,67,2,55,flashy
20,lose,8,5,#829c04,7,2,3,36,flashy
95,win,35,3,#66e6ae,8,40,3,67,flashy
99,lose,94,10,#717252,9,2,1,86,vibrant
10,draw,80,4,#45fecc,10,6,5,74,flashy
29,draw,73,3,#f4dd01,5,88,1,20,flashy
60,win,14,8,#28b98e,7,91,3,34,flashy
42,lose,19,2,#e880e8,7,6,5,10,bright
62,lose,51,2,#ec850e,2,37,5,18,vibrant
82,draw,88,7,#ca4ed3,10,53,3,97,flashy
10,draw,18,4,#2292c5,3,95,2,68,bright
39,draw,34,4,#ff003b,6,88,1,53,bright
38,draw,74,10,#b86827,9,45,1,33,flashy
92,draw,29,3,#5288b6,6,8,5,19,flashy
76,win,7,9,#295b65,8,76,2,4,bright
68,draw,38,5,#3a0e38,8,46,1,84,bright
39,win,11,4,#c58940,7,50,5,28,flashy
34,lose,67,6,#bd5b98,1,3,4,2,flashy
12,win,94,7,#e39067,1,72,4,14,vibrant
70,draw,80,10,#2b17c2,3,63,4,41,vibrant
39,lose,13,10,#db5a0c,4,68,4,86,bright
69,draw,76,4,#3cdf73,7,5,1,24,bright
49,win,80,7,#c44ce5,8,39,3,6,vibrant
23,draw,47,6,#017716,2,2,3,5,flashy
18,win,88,5,#4cb542,1,82,5,63,vibrant
37,draw,70,1,#2cd107,5,89,3,16,bright
83,lose,82,8,#b4b879,4,87,5,82,flashy
42,win,99,5,#aa468d,9,93,4,71,bright
95,lose,7,9,#ea35d8,1,88,4,20,bright
62,lose,27,6,#32b3cb,7,89,2,43,vibrant
50,win,70,5,#d4bc14,1,45,1,64,flashy
87,draw,63,5,#614dcf,7,89,3,81,vibrant
59,lose,9,3,#91b3e0,3,43,5,88,vibrant
23,win,65,7,#508e31,5,14,5,67,vibrant
4,win,6,2,#d87b7e,6,1,2,52,bright
44,lose,8,7,#417d0b,5,70,3,52,bright
18,draw,83,4,#719e12,0,79,3,46,flashy
3,lose,8,3,#53d282,7,8,4,98,bright
82,lose,81,6,#88ac56,8,89,2,86,flashy
36,draw,4,6,#e6da71,3,28,5,79,vibrant
68,draw,52,3,#67bd58,1,75,4,21,flashy
54,win,96,1,#d5bc44,2,78,1,36,flashy
86,draw,7,6,#f52f0f,0,25,2,77,bright
22,win,34,3,#0f827a,7,69,4,4,bright
31,draw,40,2,#b91ed0,0,13,4,44,vibrant
53,lose,78,5,#e90bf3,6,68,4,65,flashy
17,lose,40,6,#228e6a,2,89,4,97,flashy
93,draw,96,4,#aa0a6a,9,89,2,58,vibrant
20,lose,16,10,#04a9d7,0,26,3,23,bright
54,win,39,5,#008e03,8,15,1,54,vibrant
37,draw,10,2,#c9af8e,7,49,5,7,bright
74,draw,26,6,#e0765b,9,79,1,14,vibrant
62,win,9,6,#b81c62,3,2,5,80,vibrant
57,lose,38,3,#3e8f97,1,63,4,24,bright
42,win,25,9,#571236,10,96,1,15,bright
33,win,3,1,#53c5cc,9,43,1,63,vibrant
25,draw,15,3,#9c5674,1,92,3,22,bright
12,lose,80,6,#5b4450,4,79,1,90,vibrant
86,lose,55,6,#12f7bb,1,53,1,33,vibrant
51,lose,69,5,#6d79ff,1,82,4,35,vibrant
82,draw,21,4,#f7f44b,6,10,4,24,bright
70,lose,29,2,#654009,0,73,3,90,bright
15,draw,0,3,#5ccf25,2,41,3,61,vibrant
30,win,55,7,#25b655,3,23,3,29,flashy
37,draw,3,5,#04e0e9,2,29,5,14,flashy
16,lose,73,3,#ed98ca,6,32,2,49,vibrant
51,draw,24,6,#bf96b8,6,25,4,50,flashy
61,win,8,1,#a1e699,0,89,2,25,vibrant
100,lose,15,6,#a53d66,6,94,3,77,vibrant
26,win,40,9,#6bdf45,9,7,1,34,bright
17,lose,35,3,#4a07f9,6,32,5,92,bright
65,draw,80,1,#6430bf,5,31,4,12,flashy
10,lose,84,1,#85ae66,0,79,5,12,flashy
52,lose,80,1,#b8bd81,0,98,2,32,bright
12,win,30,8,#2c2820,9,61,5,36,vibrant
94,win,79,7,#3a24e8,7,32,3,94,vibrant
94,lose,32,9,#1644af,5,45,5,56,bright
35,draw,88,8,#cee5ac,10,90,1,7,bright
51,lose,59,3,#cc12c7,1,56,2,78,vibrant
48,draw,35,3,#d79f61,2,38,2,29,bright
100,win,50,6,#9ba6c9,6,44,1,31,flashy
92,lose,88,8,#145646,3,11,4,1,vibrant
82,draw,76,4,#8eee71,1,43,5,7,vibrant
14,draw,9,10,#cf13de,6,21,2,12,flashy
65,draw,57,7,#9aae69,6,92,2,58,flashy
56,lose,22,2,#f83689,10,16,4,32,flashy
73,draw,73,6,#e44c29,9,49,4,87,vibrant
49,win,58,10,#0f02b3,0,27,5,42,flashy
9,lose,75,6,#d74587,1,3,4,62,bright
4,win,52,4,#83137a,6,45,3,44,vibrant
2,draw,74,9,#646b7a,1,26,3,59,bright
92,lose,63,9,#4df592,2,82,4,1,bright
99,draw,14,7,#d765a6,7,64,1,22,flashy
59,win,65,7,#0dcb94,9,13,4,79,flashy
74,draw,74,9,#4a7ac1,8,17,4,44,bright
84,win,40,3,#957710,0,20,4,25,bright
43,lose,25,9,#526a62,2,85,3,85,flashy
28,win,64,9,#6cf492,4,27,4,92,flashy
27,lose,46,9,#4ced9a,4,89,4,29,bright
79,win,56,9,#17c28f,10,78,2,78,flashy
7,win,4,5,#a97733,1,7,2,34,bright
30,draw,49,8,#74d578,9,11,5,70,vibrant
29,draw,96,3,#80bb5f,8,28,2,25,vibrant
43,lose,89,1,#cbb962,10,73,3,87,bright
26,draw,7,5,#e83591,3,7,5,81,bright
69,lose,94,8,#89cd54,10,51,3,55,flashy
92,draw,31,4,#22b439,4,8,5,71,flashy
17,win,20,9,#d46d90,3,24,1,97,vibrant
98,draw,96,4,#56ebe9,9,24,2,25,vibrant
82,lose,60,5,#5f81cc,3,26,1,20,bright
84,win,58,7,#10530c,1,20,1,71,flashy
31,win,95,4,#b00df1,8,23,5,35,vibrant
7,draw,88,6,#0fc779,10,16,2,42,bright
61,win,69,6,#820bea,9,72,5,45,bright
3,win,78,10,#c1c278,2,90,1,65,vibrant
74,draw,22,7,#a3b966,1,75,4,80,bright
96,lose,63,6,#a2cad2,8,81,4,1,bright
72,draw,50,10,#f3726d,8,88,3,37,vibrant
60,win,68,2,#9e2f2d,6,47,4,13,flashy
74,win,99,7,#0c8bdb,8,58,1,61,flashy
24,lose,26,2,#49e3df,4,29,1,59,flashy
39,draw,72,9,#5aa971,9,19,2,48,vibrant
32,lose,97,10,#29ef64,6,62,2,26,vibrant
19,draw,24,3,#9187c2,9,73,2,41,flashy
64,draw,64,10,#b64a5c,9,38,3,21,vibrant
73,win,84,8,#cea646,4,3,3,72,vibrant
11,draw,1,7,#8c2377,5,59,5,10,bright
68,lose,37,1,#bfacca,9,59,1,40,flashy
36,win,0,6,#50daea,0,59,3,42,flashy
50,lose,83,5,#0aeef8,2,15,1,34,bright
86,draw,41,9,#da03bc,5,47,2,42,vibrant
51,lose,76,7,#16ea63,4,88,5,74,flashy
80,win,83,3,#95423a,10,34,4,2,flashy
96,win,65,3,#3044f1,2,75,3,57,vibrant
11,draw,50,8,#9784e6,5,85,5,36,vibrant
89,lose,7,4,#7b721e,5,64,1,71,vibrant
94,win,59,9,#516da1,7,70,1,41,bright
37,win,89,3,#5c0d68,10,79,3,69,bright
63,draw,41,4,#3d4df0,10,5,4,78,vibrant
98,lose,24,4,#8a6b60,2,87,1,68,flashy
81,draw,18,6,#323872,0,46,4,28,flashy
87,lose,40,9,#e0cff2,1,31,4,78,bright
16,lose,67,6,#e47212,8,86,1,47,flashy
92,draw,5,6,#9d9c26,0,15,3,40,bright
80,draw,93,2,#806bca,3,83,1,87,flashy
90,draw,56,10,#08a49c,3,31,4,44,flashy
59,lose,3,2,#986451,10,16,2,96,flashy
15,win,92,10,#470024,10,92,4,70,vibrant
38,win,65,6,#17d9fd,7,48,5,37,flashy
71,draw,28,3,#e40fb6,2,84,3,31,bright
66,win,8,4,#bcae08,6,55,5,96,bright
61,draw,41,7,#041075,2,49,4,23,vibrant
74,win,91,6,#408fae,8,44,5,74,vibrant
61,lose,9,4,#74239f,2,66,4,89,bright
94,win,34,7,#3c8058,1,57,4,90,flashy
92,lose,42,9,#40a36b,1,80,5,57,flashy
70,lose,1,2,#eb3029,7,90,1,42,flashy
43,lose,97,7,#b24986,0,8,2,17,bright
44,win,27,6,#b347e1,8,80,4,89,bright
71,win,44,3,#03b8f7,10,46,1,28,flashy
59,lose,55,1,#cf5a0c,0,38,1,16,bright
10,draw,61,9,#018347,8,54,5,23,flashy
20,lose,27,3,#ed7fb8,6,52,2,28,flashy
26,win,44,9,#ac960d,10,28,1,22,flashy
44,draw,44,5,#4ebcd6,5,85,3,67,flashy
55,win,17,4,#21b567,6,1,2,40,flashy
77,draw,47,3,#b5e437,6,47,4,45,flashy
5,win,44,3,#570553,8,12,5,7,vibrant
19,lose,17,4,#a4f6ce,7,99,3,2,flashy
41,lose,12,2,#8e3522,0,56,1,51,vibrant
4,draw,35,10,#acd17c,10,94,5,53,flashy
32,draw,65,5,#47c672,0,64,2,3,bright
97,draw,32,3,#156591,10,63,3,94,vibrant
12,win,1,2,#789724,0,28,4,16,bright
90,win,17,5,#a3dab1,0,75,5,37,flashy
3,draw,14,10,#b4bdbc,9,67,3,29,bright
1,win,29,6,#f440f7,2,77,5,77,vibrant
24,draw,44,3,#f7d1fc,4,11,5,36,bright
65,win,81,6,#406d95,4,83,3,84,vibrant
41,win,41,10,#bd5719,1,17,1,9,bright
90,draw,1,8,#dff1ab,3,47,2,51,bright
46,win,41,4,#6e160a,0,78,4,62,bright
72,win,98,1,#16aaba,7,82,4,56,bright
11,win,21,1,#5c3dbe,3,1,2,64,flashy
82,win,6,2,#6e5c0f,7,61,4,44,flashy
73,lose,13,9,#42f65d,10,9,1,30,flashy
98,lose,24,4,#0affc3,7,41,1,30,flashy
39,lose,71,4,#4d583f,3,55,5,44,flashy
90,lose,39,8,#4ca5ec,6,13,3,46,flashy
24,lose,88,9,#e11b55,10,19,1,89,flashy
7,lose,94,6,#163f4e,7,58,5,25,bright
23,win,92,6,#57f07d,10,98,2,2,vibrant
50,win,67,7,#48024c,10,56,1,90,flashy
31,draw,25,1,#2dc9ff,8,76,5,37,vibrant
47,draw,68,1,#db76e5,9,55,4,19,vibrant
64,lose,66,3,#f61840,5,32,2,55,flashy
73,lose,25,2,#5f9918,5,58,3,94,vibrant
20,draw,90,5,#965949,4,63,1,14,vibrant
40,draw,77,9,#6c9fcc,1,35,3,65,vibrant
21,lose,43,1,#002932,3,96,1,20,vibrant
19,draw,3,9,#4dcaa1,3,28,3,22,vibrant
82,win,92,1,#03d77e,0,20,5,12,flashy
87,win,57,6,#3b830a,5,44,5,100,flashy
5,lose,20,9,#7f2df8,1,49,1,25,vibrant
96,lose,80,2,#49d9ba,3,88,1,90,flashy
1,lose,6,3,#cc2168,4,36,4,70,flashy
2,win,12,9,#32cdd4,3,87,3,67,flashy
60,win,68,9,#17443f,0,55,4,17,flashy
96,draw,78,2,#8ede8a,10,16,4,67,flashy
94,win,3,5,#59cb46,0,10,2,41,vibrant
34,lose,74,8,#96787b,2,12,3,48,vibrant
7,win,53,8,#b42f45,2,91,1,92,vibrant
96,win,71,4,#21e3e1,5,3,4,80,bright
46,draw,45,1,#c0eadb,0,5,4,30,bright
14,win,48,6,#07d93c,0,18,4,77,flashy
34,draw,8,6,#c63522,1,39,1,26,flashy
61,draw,36,8,#83563d,6,59,3,65,bright
54,win,71,9,#7fca06,8,65,1,5,flashy
69,lose,20,2,#1d453e,1,73,5,47,bright
99,win,84,9,#4c28ef,1,2,4,15,flashy
63,lose,53,4,#91e4a5,6,30,2,6,vibrant
23,lose,24,8,#0bc0a7,0,75,4,92,vibrant
7,lose,88,5,#64c165,4,35,2,73,vibrant
98,win,3,4,#0758ab,6,88,2,22,vibrant
50,win,75,8,#c715ec,0,59,2,95,vibrant
11,lose,69,4,#8e043f,6,89,2,89,vibrant
76,draw,96,2,#a10756,2,98,4,74,vibrant
47,draw,74,2,#5f8c95,9,63,2,20,bright
49,lose,36,6,#1949cb,4,38,4,98,flashy
8,lose,7,3,#bf9331,4,79,3,31,vibrant
85,draw,87,5,#a4c069,4,65,3,86,bright
98,win,28,7,#a2b501,3,34,1,62,bright
72,lose,36,4,#5a2d6c,3,13,2,99,flashy
1,win,71,8,#d5fb4f,1,38,5,9,bright
45,draw,71,7,#f1eaac,7,94,1,65,flashy
82,win,90,6,#4c2638,0,12,1,95,bright
18,draw,78,6,#039786,4,66,3,23,flashy
96,draw,2,7,#544fbe,6,81,2,6,flashy
24,lose,13,10,#58cb48,5,24,2,7,vibrant
94,win,57,3,#02f77c,3,15,1,77,vibrant
18,draw,48,4,#dd2615,1,52,4,90,flashy
1,win,3,8,#bde24c,8,37,4,11,vibrant
34,draw,21,1,#7f5967,2,1,5,75,flashy
25,lose,83,4,#49b6be,0,96,4,45,vibrant
51,lose,52,2,#10de56,10,7,4,69,flashy
97,draw,90,8,#c54701,5,80,1,29,flashy
5,draw,24,8,#72c330,9,12,3,80,flashy
65,lose,1,6,#b46f20,5,8,3,44,flashy
14,lose,95,4,#ff8c03,9,4,5,7,bright
20,win,84,4,#abad66,0,57,1,74,vibrant
80,win,5,8,#946129,8,93,1,97,bright
89,draw,92,7,#2a2dd0,10,24,3,27,vibrant
92,win,73,1,#4ab7d4,5,51,1,72,vibrant
49,win,74,3,#3c5740,4,6,2,86,bright
92,win,5,10,#26d917,3,84,2,28,bright
54,win,56,9,#d6707e,8,42,1,60,vibrant
38,win,97,1,#6a6ecc,6,86,1,41,vibrant
80,draw,40,3,#20e4da,1,82,3,49,flashy
97,win,46,8,#4b5133,7,40,4,66,vibrant
64,lose,35,8,#4a1939,3,3,4,17,vibrant
